lab,th_in,r_in,w
1,22,8,8572.18
1,19,5,8557.87
2,16,8,8547.76
2,17,10,8547.7
3,14,20,8531.6
1,29,16,8529.72
5,4,13,8491.71
2,20,21,8479.4
1,20,10,8472.32
4,34,4,8470.2
4,31,9,8457.63
1,24,13,8450.81
2,15,8,8444.01
1,25,20,8438.4
2,15,17,8427.52
2,15,19,8425.53
2,16,9,8421.36
1,21,6,8413.14
2,20,26,8394.74
2,18,36,8354.62
1,25,14,8347.93
2,16,10,8341.28
2,20,11,8334.49
2,15,3,8286.4
2,16,11,8260.52
5,1,28,8239.24
2,18,11,8237.34
5,2,30,8235.79
2,16,12,8194.81
1,28,12,8160.14
2,19,26,8158.54
1,23,29,8151.25
2,16,13,8143.67
2,15,14,8142.6
1,20,5,8134.65
2,18,25,8126.89
2,15,9,8123.93
1,25,15,8121.72
4,29,15,8120.59
2,17,34,8120.03
1,17,2,8117.28
1,24,12,8111.28
3,10,9,8101.08
2,19,17,8082.8
2,19,27,8056.49
5,1,36,8053.6
1,27,9,8049.65
1,23,16,8041.06
2,22,21,8025.14
5,1,22,8024.6
1,25,13,7988.94
5,2,2,7965.91
4,31,8,7952.08
5,2,19,7951.8
5,31,27,7951.48
2,15,4,7949.75
1,23,9,7942.55
4,32,5,7931.15
2,21,27,7907.11
3,14,22,7894.92
2,16,14,7891.42
1,22,7,7883.3
1,26,15,7871.52
4,29,14,7861.64
2,19,18,7854.59
3,12,16,7843.89
1,25,16,7843.22
5,32,30,7843
2,15,20,7837.89
5,5,10,7837.46
1,24,21,7827.41
2,16,4,7819.13
4,30,14,7782.97
3,8,6,7782.68
2,18,4,7773.3
2,15,10,7771.39
4,34,3,7757.28
5,2,34,7722.84
2,20,19,7713.11
5,6,8,7695.13
5,4,14,7694.99
2,18,18,7688.14
5,3,32,7663.32
2,16,3,7633.54
2,18,30,7630.58
1,24,11,7627.57
4,30,13,7612.38
2,17,4,7586.9
2,17,33,7575.29
5,32,29,7574.64
4,33,4,7562.72
2,16,22,7557.34
4,30,19,7549.09
2,15,13,7524.25
2,18,12,7521.83
1,21,5,7516.03
4,30,15,7515.24
3,10,10,7503.9
5,32,33,7487.17
2,15,11,7481.15
3,9,7,7480.21
4,31,7,7469.12
1,26,10,7465.33
5,1,27,7458.47
1,27,8,7455.63
5,3,17,7439.4
2,20,32,7421.85
1,26,11,7397.31
1,28,11,7396.54
1,27,34,7380.49
1,26,9,7378.51
2,16,15,7368.62
2,17,3,7367
1,19,4,7356.3
1,18,3,7352.86
2,17,25,7349.12
2,18,21,7345.35
4,29,13,7343.38
2,15,12,7342.31
1,23,30,7338.98
5,32,28,7305.45
1,23,8,7303.01
2,14,39,7299.35
2,16,38,7299.23
1,25,12,7296.91
1,23,22,7269.1
5,2,29,7262.08
2,20,27,7238.64
1,24,10,7231.6
1,28,37,7231.08
3,7,7,7222.83
1,23,20,7216.39
1,23,21,7210.2
1,26,8,7194.22
5,1,23,7151.82
5,5,11,7142.48
1,26,12,7131.44
1,22,6,7130.37
1,24,16,7101.65
4,30,12,7086.85
5,36,39,7065.07
2,18,13,7064.55
5,2,20,7064.01
2,18,17,7059.91
4,30,16,7044.59
1,24,19,7033.11
4,30,18,7022.74
3,10,11,7020.54
1,24,20,7011.45
1,26,14,6997.24
2,17,22,6978.64
2,16,16,6975.7
5,6,9,6938.22
2,18,14,6913.53
1,26,7,6900.7
4,31,6,6885.73
1,25,11,6883.54
1,27,7,6878.45
1,26,13,6871.18
1,24,9,6869.9
1,28,10,6868.13
3,8,7,6839.79
4,30,17,6816.75
5,1,2,6806.39
2,18,15,6775.66
1,23,7,6755.74
2,20,31,6749.57
5,35,40,6742.14
3,14,21,6739.09
5,4,15,6721.93
1,23,31,6705.07
4,33,3,6684.96
1,25,10,6664.98
3,7,8,6655.71
5,5,12,6651.97
2,19,19,6646.36
4,30,11,6643.76
2,18,16,6641.26
1,24,31,6630.45
4,29,12,6625.6
5,34,38,6594.53
1,20,4,6593.8
5,1,26,6585.81
1,24,17,6576.98
4,32,27,6572.4
1,28,9,6525.49
1,26,6,6524.84
3,10,12,6523.97
2,18,23,6510.11
6,30,42,6476.22
1,24,8,6465.61
1,25,9,6464.83
1,19,3,6462.56
4,32,4,6459.99
4,4,1,6456.96
2,16,17,6444.68
1,22,5,6432.09
5,1,24,6393.61
3,6,10,6389.74
4,31,5,6387.44
5,3,31,6370.94
1,27,6,6366.67
1,23,19,6335.1
2,18,24,6334.8
4,30,10,6333.44
2,21,25,6296.25
3,10,13,6293.04
5,5,13,6289
2,15,21,6287.96
1,25,8,6272.62
3,9,8,6263.53
2,17,32,6254.82
1,28,8,6251.99
2,14,38,6251.26
1,23,6,6250.73
5,3,33,6233.32
5,1,25,6218.23
2,20,33,6212.84
5,2,28,6210.83
1,29,41,6207.8
1,25,7,6203.72
1,23,18,6202.13
2,16,21,6188.02
2,16,23,6175.9
1,22,20,6139.07
2,15,39,6138.29
1,26,5,6131.01
3,7,9,6118.13
4,29,11,6117.51
4,30,9,6100.61
1,25,6,6084.15
3,12,17,6063.29
2,22,25,6059.04
5,3,30,6033.17
3,6,11,6021.53
1,24,7,6019.19
1,28,7,6010.89
5,3,18,6000.09
5,5,14,5995.2
5,2,21,5994.85
1,23,17,5994.79
1,28,38,5981.11
1,24,18,5975.1
1,22,31,5968.97
3,10,16,5950.07
2,15,37,5937.63
3,8,8,5937.5
3,10,14,5937.5
3,12,19,5935.77
5,3,29,5932.42
1,21,4,5924.57
5,3,26,5911.34
4,30,8,5910.73
1,27,5,5896.26
1,21,32,5890.04
5,3,28,5864.26
5,3,27,5860.16
1,25,5,5853.28
4,32,3,5824.93
2,17,23,5816.48
3,10,15,5813.31
4,6,1,5792.82
1,28,6,5776.18
4,29,10,5769.94
5,4,16,5745.86
1,20,3,5730.84
5,2,27,5718.32
1,18,2,5717.3
1,23,5,5713.21
2,16,18,5698
1,24,6,5689.85
4,30,7,5681.44
1,13,1,5671.66
5,2,26,5656.33
5,4,32,5640.92
5,2,24,5621.31
3,9,9,5616.46
3,6,12,5605.86
2,21,31,5583.64
3,7,10,5565.26
5,3,25,5549.8
1,26,33,5549.15
4,29,9,5546.07
2,19,22,5538.49
3,5,30,5522.41
4,30,6,5521.18
5,2,25,5515.91
3,10,17,5502.56
1,24,5,5496.86
1,28,5,5467.08
5,2,22,5441.31
2,21,23,5434.45
5,36,2,5411.39
2,16,19,5406.62
5,11,1,5401.36
3,5,29,5382.13
4,29,8,5377.19
2,18,29,5374.81
2,16,36,5369.25
2,19,35,5351.27
5,2,23,5334.34
5,31,31,5329.29
3,8,9,5309.85
4,30,5,5306.2
4,31,4,5272.28
3,9,10,5258.97
5,3,19,5251.59
1,22,4,5243.58
4,29,7,5242.82
1,21,3,5215.26
3,5,15,5214.69
3,12,18,5196.07
2,21,24,5195.61
2,13,40,5188.68
1,22,18,5140.79
3,6,13,5138.51
4,29,6,5116.2
1,22,19,5108.91
3,5,31,5076.2
2,20,24,5069.72
1,26,4,5033.05
3,7,11,5024.17
4,29,5,5007.87
2,16,20,5002.62
3,14,24,4989.85
1,22,30,4976.79
2,19,20,4968.68
3,8,10,4930.67
2,22,28,4928.83
1,27,35,4907.59
1,25,32,4900.15
1,25,4,4895.38
3,5,28,4854.42
5,36,40,4837.11
4,31,3,4827.69
5,3,20,4820.41
5,4,17,4816.43
3,9,11,4804.01
1,28,39,4782.14
1,27,4,4752.26
6,32,41,4747.2
1,24,4,4743.7
2,20,23,4719.32
1,23,4,4673.67
3,6,36,4663.39
4,7,1,4660.57
5,10,1,4643.53
1,26,3,4631.89
5,4,31,4622.84
4,30,4,4621.86
1,22,3,4617.5
6,31,42,4598.24
2,14,40,4591
3,7,12,4580.09
4,35,2,4575.21
1,22,32,4574.42
4,9,1,4556.7
5,3,21,4554.2
1,28,4,4524.24
4,30,3,4501.54
1,23,3,4500.88
5,3,24,4500.42
3,8,11,4490.8
1,25,3,4486.88
1,24,3,4485.5
2,18,26,4480.22
2,15,40,4447.47
2,13,39,4433.2
2,16,34,4428.84
3,5,32,4421.21
4,8,1,4408.26
2,20,22,4394.81
5,4,30,4392.01
2,21,29,4343.27
3,5,16,4338.61
3,6,14,4314.42
5,3,22,4312.78
5,34,40,4309.86
1,27,3,4303.39
5,4,29,4299.32
1,19,2,4286.88
1,14,1,4279.25
3,9,12,4267.87
4,29,4,4257.08
5,34,39,4252.34
3,15,22,4229.26
2,19,21,4227.95
1,28,3,4209.08
5,4,28,4206.38
3,4,18,4188.31
5,3,23,4183.37
3,5,27,4179.28
3,6,27,4157.01
3,6,35,4146.57
2,16,25,4137.39
1,22,29,4137.27
4,29,3,4130.95
1,20,34,4130.35
2,18,28,4112.68
2,16,35,4102.77
2,16,26,4072.24
2,15,36,4051.3
2,17,31,4048.66
2,16,33,4038.18
2,16,27,4020.99
3,8,36,4000.93
3,6,26,3999.87
3,4,27,3999.55
4,34,2,3998.93
1,21,33,3948.53
4,3,1,3939.7
2,28,40,3939.15
3,10,18,3935.89
3,7,37,3932.12
3,5,26,3930.95
4,31,28,3928.94
3,8,35,3917.62
3,13,24,3917.48
3,13,25,3902.56
2,16,39,3891.69
3,7,13,3880.3
2,17,38,3868.81
3,5,25,3857.91
1,23,32,3842.12
3,8,12,3832.24
1,26,34,3831.12
2,16,28,3811.21
2,16,29,3810.49
3,12,22,3808.89
2,18,27,3805.94
3,4,19,3799.47
3,7,34,3774.42
3,9,13,3760.37
1,27,36,3756.49
3,6,28,3752.98
3,6,33,3733.09
5,4,25,3717.99
2,14,37,3698.54
5,4,26,3687.34
2,17,26,3661.19
3,5,24,3661.03
3,6,15,3643.1
2,16,32,3637.49
4,33,2,3620.3
1,20,2,3615.48
3,13,26,3614.5
5,4,24,3613.53
1,24,32,3609.82
2,15,35,3578.55
5,2,35,3577.25
5,4,20,3566.76
2,16,30,3545.72
2,18,37,3541.1
3,6,25,3536.26
3,7,38,3512.27
2,13,41,3503.6
2,21,30,3482.51
1,15,1,3478.51
2,15,31,3475.81
1,29,42,3468.55
2,17,27,3440.85
5,4,23,3439.69
3,5,17,3436.03
4,31,30,3433.83
2,16,31,3399.72
5,36,41,3395.91
5,4,22,3389.4
3,5,33,3384.15
2,15,30,3380.86
3,5,34,3380.79
2,15,32,3375.72
5,4,21,3355.86
4,32,2,3341.29
5,1,37,3322.31
3,12,29,3319.79
2,15,33,3316.3
3,12,28,3307.87
1,25,33,3304.75
5,3,34,3298.16
2,15,34,3286.21
1,21,2,3254.66
2,12,41,3254.43
3,6,29,3254.4
2,14,41,3241.19
4,31,29,3229.27
3,13,27,3200.64
